CRM ID,SCHOOL,ADDRESS,pincodes,REASON,CircleName,RegionName,DivisionName,OfficeName,OfficeType,Delivery,District,StateName,Mobile/Contact Number,Emails,Other Email,Contact number,Other Contacts
,Lotus international school,"Lotus international public school jawaharnagar, Vivekanand colony petrol pump thana tah + distÂ -Â Bhandara, Maharastra 441906 , MOHADI BRANCH ADDRESS -Dongargaon siddhi mandir jawal andhalgaon road tah -mohadiÂ distÂ -Â Bhandara 441906",,,,,,,,,,,8055551345,,,,
,Milan Sir:Spectrum,,,,,,,,,,,,919825066349,,,,
,Modern Convent School,"B 205, Mandideep Bridge, Indra Nagar, Mandideep, Bhopal, Madhya Pradesh 462046",,,,,,,,,,,75669 31851,,,,
,"Modern English Medium Higher Secondary School, Tamot","NH-12, Main Road, M.P Pin code- 464991, Raisen, Madhya Pradesh",,,,,,,,,,,099267 40041,,,,
,Modern public school indore,"Son Vay - Modern Public School, Mhow, Indore, Madhya Pradesh. PIN CODE - 453332",,,,,,,,,,,919827913697,,,,
,Murli shankar Acadmey,"GPH9+4FP, NOOWA BAGICHA GOLA GOLA, Gola, Jharkhand 829110",,,,,,,,,,,72501 13144,,,,
,N. V. N. ENGLISH MEDIUM SCHOOL,"Bande Ke Balaji, Via-Boraj, Jaipur, Rajasthan 303010",,,,,,,,,,,01428 264 055,,,,
,Naval's National Academy,"near ITI, Phase IV, Raptinagar, Raptinagar Phase -4, Gorakhpur, Uttar Pradesh 273001",,,,,,,,,,,99362 93671,,,,
,Noon Public High School-Abdul Hussain Muntazree,"Noon Public High School sankoo,Sankoo Block, Kargil District, Jammu Kashmir State,194103",,,,,,,,,,,9469365877,,,,
,Oriental Naga Academy-Khathing Luiram,"Ukhrul, Manipur 795142",,,,,,,,,,,9077777775,,,,
,Patara Gurukul International School,"Patra Gurukul,Maheshwar Road,Barwaha,Behind Kapas Mandi,Sirlay,Madhya Pradesh 451115",,,,,,,,,,,9479435823,,,,
,Prerna Convent School,"Harda Rd, Hoshangabad, Madhya Pradesh 461116",,,,,,,,,,,098272 95041,,,,
,Rungta International School-Mrs.Nandini Dasgupta,"RIS Building, behind Nandan Van, Veer Savarkar Nagar, Raipur, Chhattisgarh 492099",,,,,,,,,,,9229355548,,,,
,S.D.A Senior Secondary School,"New Housing Board, Shastri Nagar, Bhilwara, Rajasthan 311001",,,,,,,,,,,7947139524,,,,
,"Sanskar public school,Kanod ","Batadu Road, Man Market Kannur, Barmer, India, Rajasthan",,,,,,,,,,,96107 50187,,,,
,Shivalik Public School,"Bodla, Bichpuri Rd, Maghtai, Agra, Uttar Pradesh 282007",,,,,,,,,,,9719019291,,,,
,Shivam Public School,"Shivam Public School, Shivam nagar Dhakar mod khurja, Pin :- 203131",,,,,,,,,,,8477000372,,,,
,"Shri Jaigovind Gopinath H. S School, Mho","49, PEET ROAD NEAR RAILWAY STATION, MHOW, 07324-299323, PIN-453441",,,,,,,,,,,919826755161,,,,
,Speed well Edusports school-vikas gajanan,"Gadgadsangvi, Maharashtra 422403",,,,,,,,,,,9922956929,,,,
,ST JOSEPHS ACADEMY-SR JUDE,"ST. JUDE'S ACADEMY, SONIPATCHURCH ROAD, NARENDER NAGAR, SONIPAT, HARYANA - 131001",,,,,,,,,,,8398000859,,,,
,"St Rameshwar Central School ,Nirbhay Kumar Nirala","Main Road, Bharwara, Bishunathpatti, Bihar 847104",,,,,,,,,,,9470404094,,,,
,"Stanford International Girls School, Ujjain","gram mindia ,Indore road, Ujjain,456001",,,,,,,,,,,9485984873,,,,
,Swami Vivekanand Public School,"Hodal - Hassanpur Rd, near Pathwari Mandir, Naujhil, Uttar Pradesh 281203",,,,,,,,,,,7942699436,,,,
,The Divine Higher Secondary School,"124,ShubhashNagar, Sanwer ropad,Ujjain",,,,,,,,,,,0734-2520349,,,,
,The Divine Kids care Academy,"Alakhdham Nagar Rd, Alakhdham Colony, Shastri Nagar, Ujjain, Madhya Pradesh 456010",,,,,,,,,,,0734 - 2513071,,,,
,THE GRAMODAYA INTERNATIONAL COLLEGE,"727, Alyai, Mauranipur Jhansi 284204 U P",,,,,,,,,,,,,,,
,St. Anns College for Women,"A/45, St Anns Rd, Santosh Nagar, Mehdipatnam, Hyderabad, Telangana 500028",,,,,,,,,,,"080081 61972
Alternate phone

098490 64849",,,,
,The Millennium School,"Halka No.13, A.B.Bypass, Phase II, Nayta Mundla, Indore, Madhya Pradesh 452001",,,,,,,,,,,95755 54444,,,,
,Unique Higher Secondary School Manpur,"UNIQUE HIGHER SECONDARY SCHOOL, KHURDI ROAD MANPUR, DIST- INDORE(M.P.) PIN-453661",,,,,,,,,,,9893421962,,,,
,Vivekanand Public School,"Gobar Chowki,, near Gurudwara, Shaheed Nagar, Tajganj, Agra, Uttar Pradesh 282001",,,,,,,,,,,9212227153,,,,
,vivekanand vidya sagar middle school,"Vivekanand Vidhya Sagar M.S. Nalchha, Dhar, Nalchha, Mandu - 454010 (Vivekanand Vidhya Sagar)",,,,,,,,,,,7942686675,,,,
,Lotus international school (jawaharnagar branch),"Lotus international public school jawaharnagar, Vivekanand colony petrol pump thana tah + dist - Bhandara, Maharastra 441906",,,,,,,,,,,8055551345,,,,
,Lotus international school (mohadi branch),MOHADI BRANCH ADDRESS  -Dongargaon siddhi mandir jawal andhalgaon road tah -mohadi dist - Bhandara 441906,,,,,,,,,,,9421577111,,,,
