CRM,SCHOOL,AM,SM,Whatsapp Number, additional what' app no. ,School Address,NAME DESIG.,MOBILE,EXAPIRY,,,,,EMAIL,,,Comment ,
68841,Kudos International School-Dr Kuljeet kaur,iqbal,vikas, 98281 17001,,"Kudos International School, Add:- Nainwan Road, Near Bahadur Singh Circle Bundi - Rajasthan, Pin code 323001, Phone 07472457336, Mobile 9828117001",,9.83E+19,2024-07-19223 Days,2023-12-08 14:08:139 hour 17 min,23,-,-,kudosinternationalschool@gmail.com,,,,
70031,SBSR Inter College- Avtansh Yadav,iqbal,vikas,95281 32414,,"SBSR INTER COLLEGE VILL- VIRAYAMPUR POST- PILKHANA DISTT- FARRUKHABAD PIN 209501, MOB -9528132414",,9.53E+09,2023-12-2213 Days,2023-12-08 09:18:5014 hour 8 min,20,01-Jan,-,avtansh43@gmail.com,,,,
70115,Tagore Central Academy,iqbal,vikas,  63754 76195,,Himanshu jhankal House no 145 Gyan Vihar colony behind Queen Mary girls school ajmer  305001,,6.38E+09,2024-06-09183 Days,2023-09-23 10:26:1076 day 13 hour 0 min,0,-,-,,,,,
80404,Future Genius Academy- Mohhan Vaishnav,iqbal,vikas,96729 70991,,"Future Genius Academy , Pathwari ke piche, High Secondary Road, Sarwar. Pin code 305403, Mobile no. - 9672970991",,9.67E+09,2024-03-1597 Days,2023-12-08 16:01:567 hour 27 min,35,-,-,mohan.vaishnav88@gmail.com,,,,
81259,Stepping Stones International School,iqbal,vikas,89881 55000,,"Principal, Stepping Stones International School. Beas complex, Near Circuit House. Bilaspur HP 174001, Mob 8988155000",,8.99E+09,2024-01-0224 Days,2023-12-08 21:30:531 hour 58 min,10,-,-,rkks789@gmail.com,steponkids@gmail.com,,,
81743,Rockford Academy,iqbal,vikas, 97130 30402,,"ROCKFORD ACADEMY, Saribari Square, Sodang, Unhel Road, Ujjain 456006 MP",,9.42E+19,2024-10-17313 Days,2023-12-04 15:30:244 day 7 hour 59 min,5,01-Jan,-,,,,,
81908,"THE CRESCENT SCHOOL,Main Branch, Kaptanganj",iqbal,vikas,99350 00766,,"Dr Mohd Hasib , Main Branch, The Crescent School, Chilwan, Tahsil KAPTANGANJ, Kushinagar U.P. 274301",,iqbal,vikas,9.94E+09,2024-04-01114 Days,2023-12-08 15:03:408 hour 26 min,5,-,-,crescentcpj@gmail.com,,
82179,Achievers International School School,iqbal,vikas,96916 06090,,"Achievers international school, Add:- Jawahar chowk koudiya Gadarwara Madhya Pradesh, 487555, Contact 9691606090,9907999940",,8.77E+19,2024-07-29233 Days,2023-12-08 23:09:5620 min,37,-,-,sk71092@gmail.com,,,,
64492,Sanskaar Public School,iqbal,vikas,96175 39348,,DIWADIYA BLOCK- ICHHAWAR SEHORE (MP)-466115,9.62E+19,2024-09-11277 Days,2023-12-08 15:21:187 hour 49 min,25,01-Jan,01-Jan,spsdiwadiya@gmail.com,,,,,
66692,ASSAY INDIAN MODEL SCHOOL-Shyam Lal Mahato,iqbal,vikas,98519 04240,,"Tithpukur ,P.O- Tungidighi, P.S- Karandighi, Dist- Uttar Dinajpur, Pin-733215",9.85E+19,2024-12-09366 Days,2023-12-08 18:00:385 hour 21 min,25,-,00/01,assayindianmodelschool@gmail.com,,,,,
284,Kids Arena,iqbal,radhika, 86554 46322,,"The Tree House, 6A/D, Pushtikar CHS, Patel estate road, Opp Harbour line station, Jogeshwari west, Mumbai 400102, Ph 9821052249",Monika ma'am,9.82E+19,2024-08-10245 Days,2023-08-31 00:00:0099 day 23 hour 3 min,0,01-Jan,02-Feb,puranhemdev@gmail.com,mail.kidsarena@gmail.com,,,
314,Ken International,iqbal,radhika, 83196 03839,,"Ken International Girls School Chak Jayrampur behind Sanchi Dugdh Sangh Maxi Road Ujjain, Pin code 45661, Mob.no. 7974761294",KIRAN MA'AM,9.17E+19,8.32E+09,2024-07-23227 Days,2023-12-08 13:02:2610 hour 1 min,17,-,-,principal.keninternational@gmail.com,,,
393,"Genius Global School, Solan , Himachal Pradesh ",iqbal,radhika,77788 00054,,"Genius Global School, 194, Anand Vihar,Saproon, Solan (H.P.) , Pincode - 173211, Phone - 9816277154, 7778800054",,iqbal,radhika,981627715477788 00054,2024-04-22135 Days,2023-12-08 13:43:019 hour 21 min,13,-,-,geniusglobalsolan@gmail.com,,
7632,Billabong High International School,iqbal,radhika,99774 00167,,"BILLABONG HIGH INTERNATIONAL SCHOOL , MIST Campus, Limbodagari , Behind Aurobindo Hospital,  Sanwer Road, Indore-453111, MIST....Malwa institute of science and technology., Phone - 9977073338",Principal Billabong,9.42E+19,2024-06-20194 Days,2023-12-08 18:24:424 hour 42 min,4,-,-,principalbillabong@mistindore.com,vp@mistindore.com,bhis.accounts@mistindore.com,karunajain@mistindore.com,
8135,JOLLY MEMORIAL MISSION SCHOOL,iqbal,radhika,75096 63188,,"Jolly Memorial Mission School, Ora park colony,  Near Sethi Nagar, Ujjain. Pin- 456010, Mob:- 7415415449",PRITESH SIR,9.43E+19,2024-02-1770 Days,2023-12-08 16:14:546 hour 52 min,25,-,-,jmmhsujjain@gmail.com,,,,
65246,Vivekanand Public School,iqbal,radhika,92352 74745,,"UJJWALA BHOYAR, ADDRESS :- AAKARSH CAREER INSTITUTE PVT LTD, 2ND FLOOR,57, PRADIP, BUILDING,MOUNT ROAD, SADAR NAGPUR, MAHARASHTRA 440001., Mob. 7020125296",Ankit Soni,6.39E+19,2024-04-07120 Days,2023-12-08 13:04:1010 hour 8 min,10,-,-,svcjhansi@gmail.com,,,,
65439,Aadharshila Inventive Global School,iqbal,radhika,80057 18087,,"AADHARSHILA INVENTIVE ENGLISH SCHOOL, BHATON KA BASS MURLIDHAR VYAS NAGAR ROAD BIKANER, LAND MARK :- VIVEK BAL NIKETAN SCHOOL, MOB: 8005718087, Pincode - 334001",Nilesh Aneja Sir,9.51E+19,2024-08-28263 Days,2023-12-08 15:35:577 hour 38 min,30,-,00/01,nilesh.aneja89@gmail.com,,,,
65452,JUNIOR CAMBRIDGE SCHOOL,iqbal,radhika,82102 84534,,"Junior Cambridge School, Vidya Bhavan Main Road Niche Bazar Simdega Jharkhand - 835223 Phone: 8210284534",DIRECTOR -  RAHUL SIR,9.84E+19,2024-06-15189 Days,2023-12-08 16:08:407 hour 5 min,19,-,00/01,jcssimdega@gmail.com,,,,
65859,"Bafna Charitable Trust, Aurangabad",iqbal,radhika,77200 25133,,"THE EVOLVERS NEST PRESCHOOL, A/7/A, MIDC CHIKALTHANA AURANGABAD - 431001, Mob. 77200 25133",,radhika,9.37E+19,2024-05-17160 Days,2023-12-07 13:45:181 day 9 hour 29 min,33,01-Jan,-,kailashbafna@gmail.com,1b.kathar@gmail.com,neeropmabafna@gmail.com,
66103,ST. MICHAEL PLAY SCHOOL,iqbal,radhika,93045 82434,,"St. Michael's Play School, Near Sunday Market, Ratu,Ranchi, Jharkhand, Pin code - 835222, mob. 7319768322,7520332272",Rajat,9.91E+09,2024-04-12125 Days,2023-12-08 13:06:1710 hour 8 min,8,-,-,rajat@stmichaelsranchi.com,,,,
66225,Greenland school,iqbal,radhika,98383 87070,,"Naval Kishore (Principal), Lions Sr. Sec. School , NTPC Shaktinagar, Sonebhadra, U.P., Pin - 231222, Ph. No. - 9554830012",Rajiv Sinha Sir,9.84E+09,2024-07-13217 Days,2023-12-08 11:00:5212 hour 18 min,54,-,-,rajeevsinha987@gmail.com,,,,
66334,Modern Academy School,iqbal,radhika,9199559199,,"Modern and PMM academy both have same owner Ravi Ranjan sir, So we will only share one parcel to PMM academy",Ravi Ranjan,9.20E+19,2024-07-07211 Days,2023-12-08 14:23:188 hour 56 min,17,02-Feb,05-May,modern.acdmy@gmail.com,,,,
66443,PMM Academy,iqbal,radhika,9199559199,,"PMM Academy,  Ashok Nagar, Gaya, Pin - 823001, Bihar, Cont :- 9199313153",Ravi Ranjan,9199559199 Ravi Sir9199313153,2024-07-21225 Days,2033-12-12 00:00:00-3656 day 0 hour -38 min,963,-,00/01,modern.acdmy@gmail.com,,,,
66937,Wee care play school,iqbal,radhika,96718 51539,,"Wee care play school, Amrit colony near Nehar cable office rohtak,Pin - 124001 haryana, Phone - 9671851539",Pradeep Sir,96718 51539,2024-02-1063 Days,2023-12-08 18:33:174 hour 48 min,6,-,01-Jan,pardeepbudhwar@hotmail.com,,,,
66999,Bright Academy School,iqbal,radhika,98320 95334,,"Address: Gurunanak Sarani, Punjabipara,  Siliguri, Pincode - 734001, Phone - 9832095334",,9.83E+19,2024-04-09122 Days,2023-12-08 18:47:424 hour 34 min,11,-,-,brightslg@gmail.com,,,,
67126,"Delhi World Public School, Dhar",iqbal,radhika,86024 56294,,"Delhi World Public School, Dharawara (Mandav Road), Mobile : 8602456294, Pin - 454001",,radhika,7.87E+20,2024-05-24167 Days,2023-12-08 13:54:079 hour 28 min,9,02-Feb,01-Jan,giri_bid@rediffmail.com,sarthak.jaindwpsdhar@gmail.com,,
67622,AKC Education,iqbal,radhika,94142 02332,,"AKC SCHOOL, NARBADA NAGAR CHAMTI KHERA ROAD CHITTORGARH, pin 312001, Rajsthan, Mo.No 94142 02332",DHIRAJ SIR,9.41E+19,2024-10-30326 Days,2023-12-08 10:23:4312 hour 59 min,12,02-Feb,00/02,rightdhiraj23@gmail.com,akcschoolcor@gmail.com,,,
68741,Rani Bhabani Vidyaniketan,iqbal,radhika,94344 41529,,"Rani Bhabani Vidyaniketan , Index No:-E3-099, Saderghat. Raghunathganj.Murshidabad, Pin - 74225, Phone - 03483356008/7407605008,9434441529",arkaprabh chatarjee,9.43E+19,2023-12-156 Days,2023-12-08 13:31:089 hour 54 min,15,-,01-Feb,ranibhabani.rnj@gmail.com,,,,
70297,"Anandi Academy, Bageshwar",iqbal,radhika,97198 62206,,"Chandan Singh parihar ,C/o Anandi Academy Bankhola Mandalsera Bageshwar, Uttarakhand, Pin 263642, Mobile:9719862206, E mail: chandanparihar65@gmail.com ",,radhika,9.76E+09,2024-03-0183 Days,2023-12-08 15:05:048 hour 21 min,11,-,-,chandanparihar65@gmail.com,,,
81910,Aakarsh career institute pvt ltd,iqbal,radhika,70201 25296,,"UJJWALA BHOYAR, ADDRESS :- AAKARSH CAREER INSTITUTE PVT LTD, 2ND FLOOR,57, PRADIP, BUILDING,MOUNT ROAD, SADAR NAGPUR, MAHARASHTRA 440001., Mob. 7020125296",Ujjwala Bhoyar,7.78E+19,2024-01-0729 Days,2023-12-08 18:00:025 hour 30 min,11,-,01-Feb,Hr@aakarshcareer.com,,,,
82025,Rani Bhabani International School,iqbal,radhika,94344 41529,,"Rani Bhabani Vidyaniketan , Index No:-E3-099, Saderghat. Raghunathganj.Murshidabad, Pin - 74225, Phone -  03483356008/7407605008,9434441529",arkaprabh chatarjee,9.43E+09,2024-05-15158 Days,2023-12-02 10:32:246 day 12 hour 58 min,2,-,-,ranibhabani.rnj@gmail.com,,,,
66015,Natkhat Kid's School Gayatri Nagar,iqbal,radhika,79798 58264,,"Natkhat kids school, Gayatri Nagar Sudna Daltonganj palamu jharkhand, Pin code 822102, 7979858264",,,,,,,,,,,,
3,"Stanford International Girls School, Ujjain",iqbal,lokesh,94259 84873,,"gram mindia ,Indore road, Ujjain,456001",,,,,,,,,,,,
401,Himalaya Inter college-Prakash karki,iqbal,lokesh,96273 88565,,"NH309A, Chaukori,Uttarakhand 262531",,9.41E+09,2024-10-28324 Days,2023-12-07 11:48:181 day 11 hour 16 min,7,-,-,prakash.karki78@gmail.com,,,,
432,Rainbow India School-P S Bhati,iqbal,lokesh,88662 22236,,"Plot no 13, dharmadeep park,bhuj kutch Gujarat,370001",,8.87E+09,2023-12-145 Days,2023-12-08 13:42:329 hour 23 min,17,03-Mar,01-Mar,Rainbowindiaschool@gmail.com,ksmmco@yahoo.co.in,,,
3897,Elite International School,iqbal,lokesh,97808 58487,,"Elite International School, Near Civil Hospital Kandaghat,Pin code 173215 ,Contact 9780858487",,9.78E+09,2024-09-01267 Days,2023-12-08 13:04:0210 hour 3 min,37,-,-,Eliteinternational18@gmail.com,Eliteinternationaldata@gmail.com,,,
8122,Aaradhya International School,iqbal,lokesh,96855 13689,,"Munja Khedi, Narwar, Dewas-Ujjain Road, Ujjain (M.P.)-456664",kriti sharma,7.34E+09,9.69E+09,9.83E+09,2024-06-29203 Days,2023-12-08 12:37:1710 hour 30 min,10,-,-,aaradhyainternational2014@gmail.com,,
10982,Shree SudhaSagar Digamber Jain Vidya Vihar Senior Secondary School-Anand Soni,iqbal,lokesh,92145 57857,,"Shri SudhaSagar Digamber Jain Vidhya Vihar senior secondary school,Sapanda Road,Kekri - 305404",,9.21E+09,9214551160-ajay sir9214551160,8.00E+09,2024-09-07273 Days,2023-12-08 09:00:3314 hour 9 min,11,00/02,02-May,anandsoni7565@gmail.com,,
11256,SNS ACADEMY COIMBATORE,iqbal,lokesh,96985 29745,,"538, THUDIYALUR-SARAVANAMPATTI ROAD, VELLAKINAR, COIMBATORE-641029,",,9.59E+19,2024-03-20102 Days,2023-12-08 19:17:323 hour 52 min,30,-,-,wtd.sns@gmail.com,,,,
65196,Mom’s Pride Education Society,iqbal,lokesh,99911 00101,,"Mini bypass road, Near Delhi Pul, Sirsa - 125055",,9.99E+09,2024-07-04208 Days,2023-12-08 13:19:079 hour 52 min,19,00/03,-,momspride.sirsa@gmail.com,,,,
65254,Shree Santoshi Global School,iqbal,lokesh,82640 06699,,"Address: 26, Shyam residency, Nr. SSGS Preschool, SSGS Preschool Rd, Bavla, Gujarat 382220",,8.26E+19,2024-04-20133 Days,2023-12-08 13:19:109 hour 53 min,29,-,-,info@ssglobalschool.com,,,,
65360,"Royal Public School, Ajmer ",iqbal,lokesh,85598 95515,,"Shri Balaji Royal Public school Foy Sagar road chamunda chowraha Ajmer,305005",,lokesh,9.06E+19,2024-08-17252 Days,2023-12-08 15:43:397 hour 29 min,27,-,-,godara930@gmail.com,shrirpsajmer@gmail.com,,
65406,Palm International School,iqbal,lokesh,80020 04339,,Palm International School Bariatu Ranchi - 834009 Jharkhand,,8.60E+19,2024-04-08121 Days,2023-12-08 10:45:3512 hour 28 min,6,-,-,abdur007@gmail.com,pis.ranchi@gmail.com,,,
66416,The Legend School,iqbal,lokesh,96931 40322,,"Near main gate of Maharaja Bada Bagh,Kadavi road Dumraon 802119 ",Beauty Mam,7.00E+19,2024-09-10276 Days,2023-12-08 14:20:359 hour 0 min,8,-,-,info.thelegend001@gmail.com,kumarsonu.sk171@gmail.com,,,
67457,Third Millennium Public School Nowshera ,iqbal,lokesh,90706 74744,,"amar bagh bela, ward no 01 ,Nowsher 185151",Sapna mam,9.86E+19,2024-10-02298 Days,2023-12-08 15:24:347 hour 58 min,30,03-Mar,-,sudeshghazal687@gmail.com,tmpsnowshera@gmail.com,,,
67706,Birsa residential school,iqbal,lokesh,93860 48376,,"saldega,PO/PS dist simdega(JH) 835223",,9.39E+09,2024-08-27262 Days,2023-12-08 15:18:058 hour 4 min,20,-,-,birsastt@gmail.com,,,,
68143,RISING BUDS PUBLIC SCHOOL,rohit,lokesh,91615 00483,,"POORE BADAL WARD, NAGAR PANCHAYAT SUBEHA, BARABANKI 225125",,9.16E+09,2024-07-17221 Days,2023-12-07 12:10:381 day 11 hour 13 min,23,-,-,naviral1983@gmail.com,,,,
68375,Sunshine public school,iqbal,lokesh, 97395 95460,,"16/7 dodda gollarahatti, magadi, main road , banglore - 560091",,9.84E+09,2024-04-02115 Days,2023-12-08 16:02:207 hour 22 min,13,-,00/01,sunshineschoolmail@gmail.com,,,,
68417,Shree Narsingh Vidhya Higher Secondary School-Sunil Kumar Upadhyay,iqbal,lokesh,77809 30901,,"samba Ghagwal,M.S Radial Naran, Jammu & Kashmir 184141",,9.42E+09,2024-07-26230 Days,2023-12-08 16:50:046 hour 35 min,18,-,01-Jan,sunilkawa@rediffmail.com,shreenarsinghuniversalschool@gmail.com,,,
68597,Vipul Educational Institution,iqbal,lokesh,98287 05752,,VIPUL PUBLIC SCHOOL Dungra chhota Teh. Sajjangarh Dist. Banswara Rajasthan 327602,prahlad sir,9.83E+19,2024-02-2275 Days,2023-12-07 09:08:511 day 14 hour 16 min,9,-,-,sam5752@gmail.com,,,,
68624,YUG NIRMAN SHIKSHAN SANSTHAN SENIOR SECONDARY SCHOOL,iqbal,lokesh, 94558 28947,,"Yug Nirman shikshan sansthan inter college,Deoria Khas,,District -Deoria,State -U P,Pin code -274001",alok  sir,9.79E+19,2023-12-2213 Days,2023-12-08 21:51:241 hour 34 min,49,-,01-Feb,jitendrapandeydeo@gmail.com,,,,
68913,Maharishi Dayanand Public School,iqbal,lokesh,97845 02143,,"345- a/11 Near C.R.P.F. GC-1 MASUDA GATE, Ajmer, Rajasthan 305001",,9.78E+19,2024-04-05118 Days,2023-12-08 15:51:157 hour 35 min,50,-,-,mdp.s761@gmail.com,priyanka2904sharma@gmail.com,,,
74234,St. Gorakh Nath Children Academy,iqbal,lokesh,9627206946,,"St. Gorakh Nath Children Academy, near Post Office, Kandhla, Uttar Pradesh 247775",,9627206946Kshitiz Miital,2024-02-2477 Days,2023-12-08 14:26:149 hour 0 min,11,-,-,st.gnca@gmail.com,,,,
76046,SYNOD ENGLISH MISSION SCHOOL,iqbal,lokesh,70028 33612,,"Ward no 2, Gauripur, Dhubri(Dist), Assam. 783331",,7.00E+09,2024-01-2648 Days,2023-12-08 12:00:2411 hour 28 min,4,-,-,principal.synodmission@gmail.com,sn1342@gmail.com,,,
81860,Satyam Bright Future Public School Mathura,iqbal,lokesh,63981 67 725,,Satyam bright future public school near Bansal vatika Aurangabad road mathura 281006,,63981677258476845036 Satyam Director,2024-04-03116 Days,2023-12-08 13:20:4210 hour 9 min,10,-,-,d.aryan825@gmail.com,,,,
81934,legend school ,iqbal,lokesh,97716 18024,,"Station road, Maharaja petrol pump dumraon 802119 ",,8.71E+19,2024-02-2578 Days,2023-12-08 17:43:125 hour 47 min,13,-,00/01,legendschoolsvs@gmail.com,,,,
5,"Akshat International School, Ujjain",iqbal,kripal,88394 52019,,"Akshat International School, Lalpur, Ujjain Dewas Rd, Nagziri, Ujjain, Madhya Pradesh 456664",,kripal,1.23E+19,2024-02-1669 Days,2023-12-08 16:04:186 hour 57 min,6,07-Jul,01-Jan,akshatinternationalujjain@gmail.com,,,
59,"Kalidas Montessori Nanakheda Branch, Ujjain ",iqbal,kripal,98275 87089,,"Kalidas Montessori Senior Sec. School,  Rishi Nagar Ext. Near Brahmakumari Ashram, Ujjain 456010, Phone - 94071 30341, 98930 95848",,kripal,8839950066Nagar Sir--9131391995,2024-04-30143 Days,2023-12-08 14:22:328 hour 40 min,11,-,-,,,,
75,KALIDAS MONTESSORI SENIOR SECONDARY SCHOOL,iqbal,kripal,89826 13275,,"Address–17,MILKIPURA, Bada teliwada,UJJAIN-456010, 89826 13275, 90395 13294",GULAM HUSSAIN SIR,8.84E+09,2024-04-30143 Days,2023-12-08 20:49:062 hour 13 min,22,-,-,kmsujn@yahoo.com,,,,
287,Kids Gurukul,iqbal,kripal, 94038 43866,,"Plot No. 111 Parshpuram Apartment, Jay Nagar, Near Omkareshwar Temple, Jalgaon 425001, Minal Mam- 8208057602, Kruti Mam - 9823495225",PRINCIPAL -  MEENAL MA'AM,8208057602 Meenal Jain9403843866,2025-06-22561 Days,2023-12-08 16:31:526 hour 31 min,14,-,05-Jun,kidsguru@gmail.com,,,,
521,virgin mary school ujjain,iqbal,kripal,94259 15435,,"Virgin Mary H S School, 157, Mangal Colony , Udyan Marg  , Sethi Nagar Ujjain, Pincode - 456001, Contact: 7000187472 ",OWNER - SOURABH CHOUDHRY SIR,94259154350734-2510268,2024-01-2244 Days,2023-12-08 15:56:577 hour 9 min,35,-,00/01,sourabh.choudhary.upsc@gmail.com,,,,
525,Gateway International High School,iqbal,kripal,8919301406,,"Postal address:- M.RAJASHEKHAR REDDY, Gateway  International  High school, Budwel,Rajendranagar, Hyderabad-30,Pin code - 500030, Ph no:8886085556/9133443300",PRINCIPAL - SARITHA MANE,9.13E+19,7.08E+09,2024-06-06180 Days,2023-12-08 18:02:245 hour 4 min,16,-,-,gihshyd@gmail.com,rajmamidi@gmail.com,,
8136,KADAMBINI CHILDRENS ACADEMY,iqbal,kripal,88171 57272,,"Kadambini Children's Academy, A-55, Indira Nagar, Agar Road,Ujjain, pincode:  456010, 0734-2580423. 9893087678",SAHADAB SIR,7.97E+19,2024-03-0991 Days,2023-12-08 14:41:398 hour 26 min,21,-,-,sss2700jaiswal@gmail.com,dhruvjaiswal.19jan@gmail.com,,,
65247,"Neuron Labs, Pune ",iqbal,kripal,98901 80381,,"Neuron Labs School, Survey no 19, Behind Vitthal Mandir, Before 10 Vrindavan Society, Dhanori, Pune - 411015, Contact no. 09545008800",,kripal,9.88E+19,2024-06-07181 Days,2023-12-08 16:29:316 hour 42 min,15,07-Jul,-,abcm.punemf@gmail.com,,,
65266,"GdGoenka Lapetite Lohia Nagar, Ghaziabad",iqbal,kripal,99539 98904,,"Gd Goenka La Petite, C-3, Lohia Nagar, Gzb,Pin code - 201001,Phone - 9953998904, 7838360542",,kripal,1.00E+10,99539989049811377660 Ankur Whatsapp,2024-05-02145 Days,2023-12-08 12:25:2410 hour 47 min,10,-,-,ankur0400@gmail.com,,
65358,Aatmdeep Vidyalaya,iqbal,kripal, 78000 43145,,"Aatmdeep vidyalaya, Siktaur , Near Deoria bypass , Gorakhpur, Pin code - 273010, Contact no . 8853210002 , 9935703444",VANSHI MA'AM ,9.94E+19,2024-09-07273 Days,2023-12-08 15:17:437 hour 55 min,17,-,-,aatmdeepvidyalaya@gmail.com,,,,
66181,Shri Pragya Public School Bijai Nagar,iqbal,kripal,98287 13008,,"Shri Pragya Public School, Pragya Road, Bijainagar, Dist. Beawar, Pin code 305624, mob. 9461996117",DIRECTOR -  NAVAL JAIN SIR,9.08E+09,2024-06-11185 Days,2023-12-08 23:09:377 min,17,07-Nov,01-Jun,bhatihanuman0232@gmail.com,acnts1992pragya@gmail.com,sunil777.su@gmail.com,,
67767,Muskan International School,iqbal,kripal,99377 94103,,"Muskan International School Kantabanji, Dist: Bolangir, State: Odisha, Pin code: 767039, Mobile number: +91-9937794103",OWNER - BRIJESH MITTAL,9.94E+09,2024-05-01144 Days,2023-12-08 18:08:125 hour 14 min,7,03-Aug,01-Jan,brajeshmittal@gmail.com,,,,
68400,SVM CHILDRENS ACADEMY,iqbal,kripal, 99280 48748,,"svm children's academy,diwan anagar khora bisal, Jairampura road, Jaipur, Pin - 302012,Mobile - 9928048748, 9829854868",OWNER -  KR SHARMA SIR,9.83E+19,2024-08-18253 Days,2023-12-08 14:00:179 hour 25 min,10,-,-,capsvmacademy@gmail.com,,,,
68729,"Vision Public School, Nagda",iqbal,kripal,87704 44151,,"Vision Public School, 28/5, Prakash Nagar, Nagda Jn. 456335, 8770444151, 9893798945",,kripal,9.11E+19,2024-05-10153 Days,2023-12-08 16:55:506 hour 29 min,19,-,-,visionschoolnagda@gmail.com,rakesh.sharma945@gmail.com,,
81540,Pragya International School,iqbal,kripal,98287 13008,,"Pragya International School, Ward No 2, Pragya Road, Bijainagar Dist. Beawar Pin Code 305624, mob. 7357659177",DIRECTOR -  NAVAL JAIN SIR,9.08E+09,2024-04-16129 Days,2023-12-08 15:20:178 hour 9 min,20,-,00/01,pisbjnr2022@gmail.com,hrpragyagroup@gmail.com,,,
