ID,School,ADDRESS,Mobile
64808,"GURUKUL- The Real English Medium School (BADWANI) NEWALI ROAD, SENDHWA","Niwali Rd, Sendhwa, Barwani, Madhya Pradesh 451666",919340632403
64874,Golden Dale School Begusarai,"Golden dale school, At- Ballia Block campus , Near Pashu hospital , District- Begusarai, Pin - 851211",919006266194
64941,"Sant Sunder Singh Sen. Sec. School, Ludhiana","boparai link road, Dhatt, Punjab 141422",919988898970
64995,MGM School -Bokaro,"Sector 4-F, near Central Bank of India, Sector 4-F, Sector 4, Bokaro Steel City, Jharkhand 827004",919470591856
65078,St Philomena English School,"Subbana Layout, Doddabommasandra, Vidyaranyapura, Bangalore - 560097 (Near Bel Quartz)",917893345588
65093,"sardar patel international school,indore",SHANTI VIHAR COLONY INDORE KANADIA ROAD MADHYA PRADESH 452016,918962203331
65115,"Uma Devi Acadmey, Mohammadi","Uma Devi Children's Academy, Gulauly Road, Mohammadi Kheri Pin :- 262804",919336693504
65151,Vasavi public school Gurmitkal Karnataka,"behind Bus Stand Gurumitkal, Karnataka 585214",919741966661
65152,Lotus Valley School,"Expressway, Sector 126, Noida, UP 201313",917991156746
65155,"B.P.children Public School CBSE school ,indore,CHOTA BANGDADA, INDORE RURAL","Jamburdi Hapsi Rd, Nainod Village, Bada Bangarda, Indore, Madhya Pradesh 453112",919039055528
65184,"Sandhya Senior Secondary Public School, Delhi","C-182/12 Brahampuri Main Road, Opposite Gali no:-1, Delhi, India, 110053",919811598199
65192,Carmel High School Thane:Lawrence RA,"Tikuji Ni Wadi Rd, C, Manpada, Thane West, Thane, Maharashtra 400610",919967342280
65193,Chhatrapati Raje Sambhaji School:Ganesh Ghotne,"H-3 Block, Deonar Municipal Colony, Deonar, Govandi East, Mumbai, Maharashtra 400043",918087151597
65196,Mom’s Pride Education Society,"Mini bypass road, Near Delhi Pul, Sirsa - 125055",919991100101
65203,Dr Rajeev Modern Public School: Rajeev Varma,"Dr Rajeev Modern Public School, SDM Colony Near Block Gate and Pitamberpur Station Faridpur, Pin code 243503",918171232133
65206,Young master Mind,"Nizamsagar Road, Vidya Nagar Colony, Kamareddy - 503111",917337069010
65212,Red Apple School: Nadiad Gujrat,"AT TUNDEL, PIJ ROAD, N.H.NO.8, Nadiad, Gujarat 387355",919998882220
65213,Imran khan:GAFOOR EDUCATION CENTRE,"GAFOOR EDUCATION CENTRE, Amauli, Fatehpur U.P. 212631,",917897720878
65216,Dev academy -,"Kushwaha Market, near Bus Depot, Hasari, Jhansi, Uttar Pradesh 284135",918127638108
65223,Milan Sir:Spectrum,,919825066349
65242,Grace mission International School,"Ujjain - Maksi Rd, Madhya Pradesh 456661",917723906104
65243,Ivy International Preschool,"Hoshangabad Rd, Near Pebble Bay, Shri Rameshwaram, Katara, Bhopal, Madhya Pradesh 462043",918830342170
65246,Vivekanand Public School,"UJJWALA BHOYAR, ADDRESS :- AAKARSH CAREER INSTITUTE PVT LTD, 2ND FLOOR,57, PRADIP, BUILDING,MOUNT ROAD, SADAR NAGPUR, MAHARASHTRA 440001., Mob. 7020125296",916394722593
65247,"Neuron Labs, Pune","Neuron Labs School, Survey no 19, Behind Vitthal Mandir, Before 10 Vrindavan Society, Dhanori, Pune - 411015, Contact no. 09545008800",919881190380
65250,Tapovan International School,"Ahmedabad-Mehsana Express Highway Dholasan, Road, Linch, Gujarat 384435",919974301792
65254,Shree Santoshi Global School,"26, Shyam residency, Nr. SSGS Preschool, SSGS Preschool Rd, Bavla, Gujarat 382220",918264006699
65258,The Royal International school,"Near Regal Guest House, Santipur, Mecheda, Purba Medinipur, West Bengal, Pin - 721137",919434230360
65266,"GdGoenka Lapetite Lohia Nagar, Ghaziabad","Gd Goenka La Petite, C-3, Lohia Nagar, Gzb,Pin code - 201001,Phone - 9953998904, 7838360542",9.19999577660995E+021
65267,"Horizons-The School, Ghaziabad","Villa 35, GH-7 Society, Crossings Republik, Ghaziabad, Uttar Pradesh 201016",919999577660
65273,Bharti Vidya Bhawan (BVB) Banswara : Piyush Nagawat,"Bharti Vidhya Bhawan sr sec school, Ratitalai link road,Banswara rajasthan 327001","919324047831, 9004978778"
65289,STAR PLANET SCHOOL,"19, Kamio Rd, Indus Towne, Ratanpur Sadak, Bhopal, Madhya Pradesh 462026",918109703087
65293,A G Mission School,"Chandpur, District Nayagarh, Odisha- 752024. India
Contact 918696993399",918696993399
65305,MRS Shri Krishna Pranami School:Anil Dadhich,CITY- CHIRAWA DIST.- JHUNJHUNU (RAJ) PIN NO. -333026,919828521269
65312,Annpurna Bal Vinay Mandir High School: Sagar pandya,"393, Kulkarni Ka Bhatta, Kalyanmill Naka, Pardesipura, Indore - 452003, Near MP Government School",919826666484
65330,Mothers Love School:prateek nagpal sir,"4/67 , Bengali Colony , Near Kali Badi Road , Mahavir Enclave. Delhi - 110045",919999485148
65336,Gems Academic School,Closed ops in INdia,919826337706
65350,Bharat International School,"Near Bharat City, Tila More, Loni Road Ghaziabad, Uttar Pradesh 201102, India",918826496464 Shivangi
65351,Gurukul Academy Dholpur:Saurabh Agrawal Sir,"Pushp vatika, hundawal road, Dhaulpur, India, Rajasthan 328001",919950116688
65354,"Gemford World School - Malappuram,Karela","Illathkunnu road, Thiruvaly, Manjeri, Kerala 676123",91+97433806208
65358,Aatmdeep Vidyalaya,"Aatmdeep vidyalaya, Siktaur , Near Deoria bypass , Gorakhpur, Pin code - 273010, Contact no . 8853210002 , 9935703444",919935702444
65360,"Royal Public School, Ajmer","Shri Balaji Royal Public school Foy Sagar road chamunda chowraha Ajmer,305005",919057249073
65365,Central Academy Ajmer,"Sudhakar kumar, CENTRAL ACADEMY, PRAGATI NAGAR KOTRA, AJMER RAJASTHAN, 305004",919214585832
65376,Musab High School:Abdul Rahman:MHS,"Sai Nagar Rd, Sai Nagar, Hafeezpet, Hyderabad, Telangana 500049
 Contact 09963652341",919963652341
65387,Academic Global School,"Near, Buxar-Sikraul Road, 11 No. LKH, Buxar, Bihar 802103",917564030001
65394,Garnet Education Private Limited,,919818682838
65400,Ayush Public School,"Ayush Public School, Near PWD colony, Town: Jakhalabandha District: Nagaon, State: Assam. Post office: Jakhalabandha, Pin code: 782136.",919864991736
65406,Palm International School,Palm International School Bariatu Ranchi - 834009 Jharkhand,918603418837
65411,Shivam College of Education,"STC Campus, Junction Road,Khurja, Distt- Bulandshahr, UP -Pincode - 203131",918477000372
65433,kids fountain play school- sanjay,"Purvanchal Royal City, Plot No. GH-05 Sector CHI-V, Greater Noida 201310",919313906748
65438,imam international school,IIS Campus (Sugia bazar ) Sugia Kesarri Sheohar 843329,917257938755
65439,Aadharshila Inventive Global School,"AADHARSHILA INVENTIVE ENGLISH SCHOOL, BHATON KA BASS MURLIDHAR VYAS NAGAR ROAD BIKANER, LAND MARK :- VIVEK BAL NIKETAN SCHOOL, MOB: 8005718087, Pincode - 334001",919509252764
65447,"Millennium Dream International School, Umashankar Chaturvedi","45, Beohari, Madhya Pradesh 484774",919713864474
65452,JUNIOR CAMBRIDGE SCHOOL,"Junior Cambridge School, Vidya Bhavan Main Road Niche Bazar Simdega Jharkhand - 835223 Phone: 8210284534",919835125921
65521,IK Model School,"IK Model School, Kaushis Vihar, Bypass Rd, Raxaul, Bihar 845305, +91 91222 88811, +91 93823 43321",919122288811
65653,"Lotus Valley School, Ajmer - Mr.Ajay Singh Rajput","M.S Rawat Colony, Chamunda Chauraha, Foy Sagar Rd, Ajmer, Rajasthan 305005",917014564495
65679,"Oxford School, Haryana - N K sharma","Daulatpur Road, Uklana Mandi, Hisar, Haryana, India (125113)",910129-4340785
65690,"The Crescent School, Kaptanganj","Dr Mohd Hasib , Main Branch, The Crescent School, Chilwan, Tahsil KAPTANGANJ, Kushinagar U.P. 274301",919935000766
65748,Twinkling Star School,"Twinkling Star School 
Shahu nagar,
Samrat Chowk,
Beed 431122",919822415009
65763,SARVODAYA GROUP OF INSTITUTIONS,"Vill-Ghumchi,Post-Dindai,Distt-Siddharthnagar, UP, Pin-272151, Contact - 9919455903",919919455903
65811,Shyama devi public school,"Shyama devi public school, Village Babhnauli post Barawa Bazar District Kushinagar UP 274305",919839528259
65817,The New Heights Academy,"3""N, Gali Number 6, Uttar Pradesh 132001",917899099666
65859,"Bafna Charitable Trust, Aurangabad","THE EVOLVERS NEST PRESCHOOL, A/7/A, MIDC CHIKALTHANA AURANGABAD - 431001, Mob. 77200 25133",919372666999
65893,Rajwanshi Sr. Sec. School/Suresh Kumar,"Narnaul Ho, Narnaul - 123001 (Vpo Dohcana, Dist M/Garh, Haryana",919416904250
65914,RAJA Sahib Public Sr. Sec. School Jhingran/Principal Tarjiwan Singh Garcha,"Raja Sahib Sen. Sec, School VPO Jhingran Distt SBS Nagar, Punjab, Pin coce :- 144507",918146540969
65964,"T R Public School, Uttar Pradesh - Ajay Dubey","Amee Alapur, Pura, Faizabad, Ayodhya Uttar Pradesh PIN Code: 224172",919919092966
66009,Anantha Sai Vidya Nikethan-Srikanth,"Sukh Vihar, Bagh Amberpet, Amberpet, Hyderabad, Telangana 500013",919177773945
66013,Adarsh Bal Vidyalaya Sr. Sec. School-Sumit Dutta,"Adarsh Bal Vidyalaya Sr. Sec School, Banga Rd, Guru Ravidas Nagar, Nawanshahr, Punjab 144514",919988888891
66015,Natkhat Kid's School Gayatri Nagar,"Natkhat kids school, Gayatri Nagar Sudna Daltonganj palamu jharkhand, Pin code 822102, 7979858264",919386876523
66061,Jupiter Pre School,"Jupiter International School C3, Yashwar nagar, kachnar city, Vijay Nagar, Jabalpur MP 482002",919424900306
66102,St. Michael school Main-Rajat Behl,"Jajpur, Saparom, Itki Road
Ranchi – 835303

Phone: 06516454439",919905132408
66103,ST. MICHAEL PLAY SCHOOL,"St. Michael's Play School, Near Sunday Market, Ratu,Ranchi, Jharkhand, Pin code - 835222, mob. 7319768322,7520332272",919905132408
66104,MODERN INTERNATIONAL SCHOOL/Chandrashakher Patel,"Modern international school khulri, Village+post- khulri, Teh. - gadarwara, Distt.- narsinghpur 487441",918819809798
66134,P.P Savani School-Abhay Shah,"Mota Varachcha-Abrahma Road, Surat - Kamrej Hwy, Surat, Gujarat 394105",919601576420
66143,Kidzberry Public School(3rd branch)-Gokul Khatri,"9, K-Sector, Ayodhya Nagar, Bhopal, Madhya Pradesh 462041",919200004848
66151,Saraswati Vidyawardhani Shikshan Sansthan C/o. Tree House High School,"Saraswati Vidyavardhini Shikshan Sanstha , Near Khadakpada Police Station, Near Godrej Hills, Kalyan (W) -421301",919766196944
66154,Promise Land Public Inter College-Anugrah Stanley,"Promise Land Public Inter College ,P.O. Rupaidiha Distt. Bahraich UP-271881,Contact No: 7754081675",919451977870
66172,Vidya vihar vidyalaya,"E-7, Panchsheel Garden, Naveen Shahadra, Delhi
110032",919971044441
66181,Shri Pragya Public School Bijai Nagar,"Shri Pragya Public School, Pragya Road, Bijainagar, Dist. Beawar, Pin code 305624",919079703698
66203,Shree Swaminarayan High School-Ankit Choksi,"Swaminarayan Mandir Compound, Daxini Railway Crossing, Maninagar, Ahmedabad - 380008",919428017305
66225,Greenland school,"Murdhava, Sonbhadra, NH-75, Robertsganj Shakti Nagar Road, Renukoot, Renukoot, Uttar Pradesh 231217",919838387070
66258,SEMS MODEL SCHOOL,"SEMS MODEL SCHOOL Address:- Near Baram BABA Mandir, Karvi Road, Manikpur, Chitrakoot (UP) Pin code:- 210208 ,Mobile:-8448449915, 9984907313, 9125789847",919125789847
66289,Lotus international school,"Lotus international public school jawaharnagar, Vivekanand colony petrol pump thana tah + dist - Bhandara, Maharastra 441906 , MOHADI BRANCH ADDRESS -Dongargaon siddhi mandir jawal andhalgaon road tah -mohadi dist - Bhandara 441906",918055551345
66301,Saraswati Vidya Mandir School,"Hansi Road, Jind HO, Jind - 126102 (Near Industrial Area)",919416168131
66327,Bahjoi Heritage public school-Sumit Kumar Varshney,"Bahjoi Heritage Public School,Islamnagar Churaha (pincode: 244410),Ray Pur Kalan.Behjoi, Sambhal (Bhim Nagar), Uttar Pradesh",919259999919
66331,Gurukul Academy-Ravindra Pandey,"Indra Nagar, Garautha, Uttar Pradesh 284203",918576862755
66334,Modern Academy School,"Modern Academy School, Ashok Nagar, Gaya, Pin - 823001, Bihar, Cont :- 9199313153",919199313153
66336,Shivalik Educational Academy-Kaushal Sharma,"Deeg, Asaoti - Jataula Rd, near Railway Fatak, Asaoti, Haryana 121102",918901461281
66351,Dhar Cambridge Academy-Vipin Kumar,"Mandu Rd, in front of D R P LINE, D R P LINE, Dhar, Khankapuri, Madhya Pradesh 454001",918319851251
66370,Arya Sanskar Valley-Pawan Kumar,"Nambrot, P.O. Dhalwan, Teh. Baldawara, Distt. Mandi (H.P.) 175004",919882943560
66398,Central India Academy-Rita Singh,"Bhopal Road, Indore-Bhopal Bypass Square, 455001",917389400609
66416,The Legend School,"Near main gate of Maharaja Bada Bagh,Kadavi road Dumraon 802119",917004162792
66417,B P world school,"BP World School, Sunderbani Ward no 1 Sub-District Government Hospital Jammu & Kashmir, 185153",919419600789
66436,Learning Trees School- Priyank Gokani,"FF, Pebble Bay, BRTS, New CG Rd, Janta Nagar, ONGC Colony, Chandkheda, Ahmedabad, Gujarat 382424",919898182884
66443,PMM Academy,"PMM Academy, Ashok Nagar, Gaya, Pin - 823001, Bihar, Cont :- 9199313153",919199559199 Ravi Sir
66445,Dream India Public School-Pankaj Sipa,"Plot No. 159 Mangal Colony, behind Saharsh Hospital, Madhya Pradesh 456010",919938678986
66470,Aayurishi modern school,"Azampur Garhi, Mandi Shyam Nagar, Greater Noida, Uttar Pradesh 203202",917376555888
66506,Global Sainik Academy-Dr. Raghu Krishna Murthy,"Benakanalli Road, Bidar, India, Karnataka 585402",918867200235
66555,Maharaja Agrasen Polytechnic College-Navneet,"Maharaja Agrasen Polytechnic College, Dayantpur jewar G.B.Nagar UP 203135",917830036335
66558,"Lions SVEM School, Koppal","Lions Swamy Vivekananda English Medium Primary and High School
Sy. No. 467/2,3,5, Swamy Vivekananda Marga,
Chukkanakal Road, 2nd Ward,
Koppal
Tq. & Dist.: Karnataka,India
Pin: 583 231",918050874631
66561,Knowledge Rain Public School-Sanjay Yadav,"Jalgoan Road, Pansemal, Distt. Barwani (M.P.) 451770",918770677409
66630,Speed well Edusports school-vikas gajanan,"Gadgadsangvi, Maharashtra 422403",919922956929
66692,ASSAY INDIAN MODEL SCHOOL-Shyam Lal Mahato,"Tithpukur ,P.O- Tungidighi, P.S- Karandighi, Dist- Uttar Dinajpur, Pin-733215",919851904240
66710,PEARLS INTERNATIONAL SCHOOL-Satwinder Singh Kala,"Hajipur Mukerian Road Ballowan Mukerian, Hoshiarpur, Punjab 144211",919463292013
66871,JSS Gurukul,"B4 Balaji Colony Road Kedgaon, Ambika Nagar, Balaji Colony, Ahmednagar, Maharashtra 414001",919371388007
66910,St Thomas School,"Seby M Baby, ST Thomas school, Dhakuakhana Lakhimpur Assam- 787055, Ph 9957473740",919957473740
66931,Jnana Bharathi Group of Institutions-M.ramesh Babu,"Dodahatta Road, Kalyandurg, Andhra Pradesh 515761",919440215655
66937,Wee care play school,"Wee care play school, Amrit colony near Nehar cable office rohtak,Pin - 124001 haryana, Phone - 9671851539",919671851539
66970,Grace Academy,"Fun City, Pilibhit Bypass, Chhoti Vihar, Bareilly, Uttar Pradesh 243006, IN",917310622430
66999,Bright Academy School,"Gurunanak Sarani, Punjabipara, Siliguri, Pincode - 734001, Phone - 9832095334",919832363362
67032,Candid Public School-Irshad Rather,"Awaneera, Road, Frisal, Jammu and Kashmir 192232",919596076276
67035,SB International School-Gaurav Sharma,"Dalelgarh Bilaspur Road ,Gautam Buddh Nagar Bagpur, Uttar Pradesh 203202",919412242818
67039,Kidz Kingdom Pre-school And Activity Centre-Mala Lohani,"Shop No. G 5, 107/102, Durvas Apartment, Link Road, Nalasopara East, Palghar - 401209 (Opp Dmart)",919619302266
67091,Amar Bhartiya Mahavidyalaya-Chouhan,"Chauhan Pyaoo, Suresh Nagar Colony, Thatipur Gwalior - 474011 Madhya Pradesh, India",919425774121
67093,"West Point School Sandhwan,Danewala Road-Himmat","Danewala Road, Sandhwan, District Faridkot Punjab 151209",919815944566
67095,Vishwa Bharathi Arts and Science College-Sridharan,"Vishwa Bharathi arts and science college and vishwa Bharathi college of education,Krishnagiri main road, morappur-post, harur taluk, dharmapuri District-635305",918825986983
67126,"Delhi World Public School, Dhar","Delhi World Public School, Dharawara (Mandav Road), Mobile : 8602456294, Pin - 454001",917869040222
67127,St. Joseph International School-Anil Maan,"12 KM Stone, Hisar-Sirsa Road, Hisar, 125047 (Haryana)",919813100018 Anil Maan
67131,Greenland Academy,"Karnawad Rd, Karnawad, Madhya Pradesh 455221",917638875496
67151,SSM english school,"Lohta Road, Indusrial Area, Chandpur, Varanasi - 221006 (Near Sanjay Memorial College)",917983302155
67156,Yardland school,"UP, MP BORDER CHITRA ROAD, near ASHRAMSHALA, Kashavgarh, Chitrakoot, Madhya Pradesh 210204",918700130160
67166,Montesseri Academy,"Kumarganj- Patiram Rd, near Post Office, Patiram, West Bengal 733133",919903177915
67167,gomtesh eng medium school,"Gomatesh Nagar, Nipani Murgud Rd, Niapni, Karnataka 591237, 95958 91000, 8669126850",919767086499
67169,Tiny Tots Play School-Ruby,"32, New Bank Colony Jambudeep, Do Batti Road, Do Batti, Ratlam - 457001",918280009660
67170,Ignited Minds International School-Vijay,Address Ignited Minds. 402. Orchid Business Centre. Marol Military Road Andheri East Mumbai 400059,917303929402
67175,Little World International Play School,"No.259, Agara Bus Stop, Outer Ring Rd, beside Agara Flyover, Agara Village, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, Phone: 098800 71870",919986494980
67175,Little World International Play School,"No.259, Agara Bus Stop, Outer Ring Rd, beside Agara Flyover, Agara Village, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",919986494980
67176,MRUN balika school,"Govindpur Goriyon Rd, Govindpur Goriyon, Uttar Pradesh 212217",917388428907
67177,kids planet school,"Kids Planet Convent School, Jhattra Road, Zira, Jhattra Road, Ferozepur, Firozepur, Punjab, 142047",917009264087
67179,Medhaam Preschool & Daycare,"Medhaam Preschool & Daycare C Block, South City 1 Gurugram, Haryana 122 007 (near Rakshak apartments)",919654133900
